sha,date,category,changed_python_files,ruff_hit,pyright_hit,description
07337778,2026-08-24,数据完整性与分页,1,no,no,跨来源播放量口径不一致导致计数偏低
4bb3664a,2026-08-24,数据完整性与分页,8,no,no,共享查询窗口饿死部分实体且漏算跨日连续状态
473bd9a3,2026-08-24,异常与失败传播,4,yes,no,异步分发失败被吞掉后仍把计划标记为已分发
16fd9984,2026-08-24,状态与分支遗漏,2,no,no,未绑定资源这一合法状态被就绪条件排除
55d8684b,2026-08-24,运行环境与部署边界,4,no,no,已授权的工作区上下文未传到子进程
68b51394,2026-08-24,运行环境与部署边界,5,no,no,旧运行时无法导入新包导致替换流程自锁
ea4e0667,2026-08-24,外部接口与序列化契约,1,no,no,持久化键仍写死旧契约版本
c46a9648,2026-08-24,输入形状与空值,2,no,no,已完成条目缺少嵌套裁决对象时发生空值解引用
d0361181,2026-08-24,运行环境与部署边界,4,no,no,源码抽取后转义层级残留破坏分隔符与 JSON 尾部
aef38efa,2026-08-23,状态与分支遗漏,2,no,no,本地资格门重复执行服务端筛选并误拒绝合法对象
4ccc50b6,2026-08-22,并发幂等与共享状态,4,no,no,模块抽取后调用仍指向旧命名空间的状态函数
536a5feb,2026-08-22,并发幂等与共享状态,2,no,no,恢复的后台任务未登记导致活动通道过早关闭
29164ed4,2026-08-22,运行环境与部署边界,2,no,no,被推送脚本引用了其生成上下文中不可见的常量
3fa3166d,2026-08-22,运行环境与部署边界,2,no,no,首包超时阈值低于真实长上下文延迟
e4d79abb,2026-08-22,外部接口与序列化契约,2,no,no,供应商端点版本与分页参数契约已变化
e7c4b171,2026-08-22,状态与分支遗漏,3,no,no,有授权数据失败后错误回退到语义更弱的公开来源
2dc302aa,2026-08-21,布局与资源上限,4,no,no,消息卡片超过远端未公开的元素上限后反复失败
03eb8e1d,2026-08-21,外部接口与序列化契约,1,no,no,内部字段泄漏到严格响应模型导致列表序列化失败
a7d91c1c,2026-08-21,外部接口与序列化契约,1,no,no,文本查询返回的 JSON 值仍是字符串而响应模型要求对象
1ec5ebea,2026-08-21,并发幂等与共享状态,1,no,no,待处理任务恢复使用新幂等键造成重复投递
7ae1aee7,2026-08-21,状态与分支遗漏,2,no,no,一种组合模式被通用资源必填条件错误排除
94cde286,2026-08-21,布局与资源上限,2,no,no,空段落用普通空格测量导致行高不足
f0846838,2026-08-21,布局与资源上限,2,no,no,保留空行使文本超过固定行数且没有降级策略
190dca39,2026-08-21,状态与分支遗漏,2,no,no,无需叠加层的组合模式仍被叠加层就绪条件阻塞
88824842,2026-08-20,数据完整性与分页,1,no,no,查询未返回快照时间导致无法选择本次计算身份
32d4b08c,2026-08-20,数据完整性与分页,3,no,no,不完整供应商列表被错误标记为完整覆盖
35642809,2026-08-20,数据完整性与分页,3,no,no,置顶旧项被误当作时间线已越过窗口边界
153be557,2026-08-20,外部接口与序列化契约,1,no,no,SQL 条件表达式中的时间参数缺少显式类型
00e43007,2026-08-20,外部接口与序列化契约,1,no,no,SQL 文本中的 JSON 常量与绑定值缺少统一序列化
bbf3de65,2026-08-19,并发幂等与共享状态,4,no,no,并发外部判定没有全局批次预算且候选集合过宽
